Solicitar relatório.,20/12/2022,20:35:46
Solicitar relatório.,20/12/2022,20:35:50
Solicitar relatório.,20/12/2022,20:36:04
Ligar lâmpada 1.,20/12/2022,20:36:06
Solicitar relatório.,20/12/2022,20:36:13
Ligar lâmpada 2.,20/12/2022,20:36:45
Ligar lâmpada 1.,20/12/2022,20:36:49
Ligar alarme.,20/12/2022,20:36:54
Solicitar relatório.,20/12/2022,20:36:59
Solicitar relatório.,20/12/2022,20:37:18
Desligar alarme.,20/12/2022,20:37:32
Solicitar relatório.,20/12/2022,20:37:38
Solicitar relatório.,20/12/2022,20:37:58
Solicitar relatório.,20/12/2022,20:38:31
Solicitar relatório.,20/12/2022,20:38:45
Solicitar relatório.,20/12/2022,20:38:53
Solicitar relatório.,20/12/2022,20:39:32
Solicitar relatório.,20/12/2022,20:44:05
Solicitar relatório.,20/12/2022,20:44:11
Solicitar relatório.,20/12/2022,20:44:57
Solicitar relatório.,20/12/2022,20:45:16
Solicitar relatório.,20/12/2022,20:46:12
Ligar lâmpada 1.,20/12/2022,20:53:10
Solicitar relatório.,20/12/2022,20:53:25
Ligar alarme de incendio.,20/12/2022,20:53:31
Solicitar relatório.,20/12/2022,20:53:40
Solicitar relatório.,20/12/2022,20:53:47
Ligar alarme de incendio.,20/12/2022,20:53:48
Solicitar relatório.,20/12/2022,20:54:04
Ligar alarme de incendio.,20/12/2022,20:54:05
Solicitar relatório.,20/12/2022,20:54:21
Desligar alarme de incendio.,20/12/2022,20:54:26
Desligar alarme de incendio.,20/12/2022,20:54:27
Solicitar relatório.,20/12/2022,20:54:36
Desligar alarme de incendio.,20/12/2022,20:54:40
Solicitar relatório.,20/12/2022,20:55:06
Ligar alarme.,20/12/2022,20:55:10
Ligar alarme.,20/12/2022,20:55:11
Solicitar relatório.,20/12/2022,20:57:21
Solicitar relatório.,20/12/2022,20:57:30
Ligar alarme.,20/12/2022,20:57:32
Solicitar relatório.,20/12/2022,20:57:37
Solicitar relatório.,20/12/2022,20:58:16
Solicitar relatório.,20/12/2022,20:58:52
